address,benefits,destination,image_urls,images,link,name,rating,rooms,star
"19 Nguyễn Văn Tố, Hà Nội, VNM","20 khu phòng,Dịch vụ phòng,Quầy tiếp tân phục vụ 24 giờ/ngày,Phục vụ cà phê tại khu vực chung,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Nhân viên khiêng hành lý/hỗ trợ khách,Bữa sáng buffet với món nóng và nguội miễn phí và Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/23000000/22180000/22177700/22177687/3ede9c8b_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/23000000/22180000/22177700/22177687/1f183835_b.jpg', 'path': 'full/92d32da89f71f925bca1b2511a7e0773a02fdd81.jpg', 'checksum': '05cea23cda21ed8d33d770dd6b4bb121'}]",https://vi.hotels.com/ho710685984/?pa=5&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Spoon Hotel,,"{'room_type': 'Phòng dành cho gia đình, Ban công', 'room_size': 'Tối đa 6 người', 'price_per_night': '1.004.329 ₫'}",3 sao
"12 Phố Huế, Hà Nội, VNM","46 khu phòng không khói thuốc,Nhà hàng,Phục vụ bữa sáng,Xe đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Nhân viên thông thạo nhiều ngôn ngữ,Báo miễn phí ở sảnh,Dịch vụ trông giữ/bảo quản hành lý,Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/10000000/9630000/9625000/9624974/63917bac_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/10000000/9630000/9625000/9624974/49cf6a8d_b.jpg', 'path': 'full/59b25a7f068e4c088b9837e03777079c5ed75ed5.jpg', 'checksum': '25ebfdf9aa1588e339d2e5ea768012d7'}]",https://vi.hotels.com/ho502781/?pa=6&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Camellia Boutique,,"{'room_type': 'Phòng Suite (Camellia)', 'room_size': 'Tối đa 4 người', 'price_per_night': '1.210.390 ₫'}",3 sao
"12 Phố Huế, Hà Nội, VNM","46 khu phòng không khói thuốc,Nhà hàng,Phục vụ bữa sáng,Xe đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Nhân viên thông thạo nhiều ngôn ngữ,Báo miễn phí ở sảnh,Dịch vụ trông giữ/bảo quản hành lý,Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/10000000/9630000/9625000/9624974/63917bac_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/10000000/9630000/9625000/9624974/591085c4_b.jpg', 'path': 'full/24054344ee006acb09c99333d24d148f123c43ce.jpg', 'checksum': 'a0e1e05b078977ca0017c8ac3552aba6'}]",https://vi.hotels.com/ho502781/?pa=6&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Camellia Boutique,,"{'room_type': 'Phòng Suite (Camellia)', 'room_size': 'Tối đa 4 người', 'price_per_night': '1.210.390 ₫'}",3 sao
"73 Tô Hiến Thành, Q.Hai Bà Trưng, Hà Nội, VNM","46 khu phòng,Nhà hàng,Xe đưa đón sân bay,Sân thượng/sân hiên,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Máy vi tính,Tiệm/cửa hàng đồ ăn nhanh,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,TV ở khu vực chung,Bữa sáng buffet miễn phí và Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/9000000/8660000/8657600/8657560/23b60e6f_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/9000000/8660000/8657600/8657560/23b60e6f_b.jpg', 'path': 'full/f8293c6c8a0c74833ed45b7dcd33978ba1a28620.jpg', 'checksum': 'fa1e77437457ea93ac804ac7aabb57e7'}]",https://vi.hotels.com/ho465636/?pa=9&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Nesta Hà Nội - Tô Hiến Thành,,"{'room_type': 'Phòng Executive, Quang cảnh thành phố', 'room_size': 'Tối đa 2 người', 'price_per_night': '1.376.623 ₫'}",3 sao
"19 Nguyễn Văn Tố, Hà Nội, VNM","20 khu phòng,Dịch vụ phòng,Quầy tiếp tân phục vụ 24 giờ/ngày,Phục vụ cà phê tại khu vực chung,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Nhân viên khiêng hành lý/hỗ trợ khách,Bữa sáng buffet với món nóng và nguội miễn phí và Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/23000000/22180000/22177700/22177687/3ede9c8b_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/23000000/22180000/22177700/22177687/203b79ae_b.jpg', 'path': 'full/d7d163ce3b3624989521112b3e68e28160bbf709.jpg', 'checksum': 'c685780ee093472b109449dfece30d4a'}]",https://vi.hotels.com/ho710685984/?pa=5&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Spoon Hotel,,"{'room_type': 'Phòng dành cho gia đình, Ban công', 'room_size': 'Tối đa 6 người', 'price_per_night': '1.004.329 ₫'}",3 sao
"73 Tô Hiến Thành, Q.Hai Bà Trưng, Hà Nội, VNM","46 khu phòng,Nhà hàng,Xe đưa đón sân bay,Sân thượng/sân hiên,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Máy vi tính,Tiệm/cửa hàng đồ ăn nhanh,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,TV ở khu vực chung,Bữa sáng buffet miễn phí và Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/9000000/8660000/8657600/8657560/23b60e6f_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/9000000/8660000/8657600/8657560/fe7f8e70_b.jpg', 'path': 'full/8db61cb4412e673cf98ae75e8be433005658163f.jpg', 'checksum': '7543136dd53bf4556247e3ba7aab3cf7'}]",https://vi.hotels.com/ho465636/?pa=9&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Nesta Hà Nội - Tô Hiến Thành,,"{'room_type': 'Phòng Executive, Quang cảnh thành phố', 'room_size': 'Tối đa 2 người', 'price_per_night': '1.376.623 ₫'}",3 sao
"19 Nguyễn Văn Tố, Hà Nội, VNM","20 khu phòng,Dịch vụ phòng,Quầy tiếp tân phục vụ 24 giờ/ngày,Phục vụ cà phê tại khu vực chung,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Nhân viên khiêng hành lý/hỗ trợ khách,Bữa sáng buffet với món nóng và nguội miễn phí và Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/23000000/22180000/22177700/22177687/3ede9c8b_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/23000000/22180000/22177700/22177687/afc069f8_b.jpg', 'path': 'full/49b2c34109fab18b2e058113559b612ccc05e5c9.jpg', 'checksum': '7d0dd1bc060ae9e3ee702fe9ccbfea0f'}]",https://vi.hotels.com/ho710685984/?pa=5&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Spoon Hotel,,"{'room_type': 'Phòng dành cho gia đình, Ban công', 'room_size': 'Tối đa 6 người', 'price_per_night': '1.004.329 ₫'}",3 sao
"12 Phố Huế, Hà Nội, VNM","46 khu phòng không khói thuốc,Nhà hàng,Phục vụ bữa sáng,Xe đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Nhân viên thông thạo nhiều ngôn ngữ,Báo miễn phí ở sảnh,Dịch vụ trông giữ/bảo quản hành lý,Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/10000000/9630000/9625000/9624974/63917bac_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/10000000/9630000/9625000/9624974/223c185f_b.jpg', 'path': 'full/d10c514b8b8311e4b74ec250e1bda2fab3e74b8b.jpg', 'checksum': 'cb0a2156cd9a5555fce54617728c06c1'}]",https://vi.hotels.com/ho502781/?pa=6&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Camellia Boutique,,"{'room_type': 'Phòng Suite (Camellia)', 'room_size': 'Tối đa 4 người', 'price_per_night': '1.210.390 ₫'}",3 sao
"12 Phố Huế, Hà Nội, VNM","46 khu phòng không khói thuốc,Nhà hàng,Phục vụ bữa sáng,Xe đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Nhân viên thông thạo nhiều ngôn ngữ,Báo miễn phí ở sảnh,Dịch vụ trông giữ/bảo quản hành lý,Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/10000000/9630000/9625000/9624974/63917bac_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/10000000/9630000/9625000/9624974/323d3679_b.jpg', 'path': 'full/c2fbdc5c3539885616b23b7252d576999768800a.jpg', 'checksum': 'b0a6188e5200787cfd13a84a53fa77b2'}]",https://vi.hotels.com/ho502781/?pa=6&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Camellia Boutique,,"{'room_type': 'Phòng Suite (Camellia)', 'room_size': 'Tối đa 4 người', 'price_per_night': '1.210.390 ₫'}",3 sao
"19 Nguyễn Văn Tố, Hà Nội, VNM","20 khu phòng,Dịch vụ phòng,Quầy tiếp tân phục vụ 24 giờ/ngày,Phục vụ cà phê tại khu vực chung,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Nhân viên khiêng hành lý/hỗ trợ khách,Bữa sáng buffet với món nóng và nguội miễn phí và Wifi miễn phí",khách sạn Hà Nội,https://exp.cdn-hotels.com/hotels/23000000/22180000/22177700/22177687/3ede9c8b_b.jpg,"[{'url': 'https://exp.cdn-hotels.com/hotels/23000000/22180000/22177700/22177687/3ede9c8b_b.jpg', 'path': 'full/92436f1e7e50ba2d8a683265e2f4323622f42e0b.jpg', 'checksum': '63a03fef61f061cd6b5809a20a2cc7c0'}]",https://vi.hotels.com/ho710685984/?pa=5&q-check-out=2019-04-13&tab=description&q-room-0-adults=2&YGF=3&q-check-in=2019-04-12&MGT=1&WOE=6&WOD=5&ZSX=0&SYE=3&q-room-0-children=0,Spoon Hotel,,"{'room_type': 'Phòng dành cho gia đình, Ban công', 'room_size': 'Tối đa 6 người', 'price_per_night': '1.004.329 ₫'}",3 sao
